Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.008382	0.179435	0.155535	93.812000	95.250000	
0.007809	0.177001	0.155344	93.904000	95.190000	
0.007256	0.174435	0.155298	94.046000	95.300000	
0.006721	0.171342	0.160987	94.212000	95.500000	
0.006205	0.164779	0.160235	94.302000	95.220000	
0.005709	0.166113	0.154221	94.292000	95.450000	
0.005232	0.159413	0.153859	94.490000	95.430000	
0.004775	0.152299	0.152395	94.788000	95.470000	
0.004337	0.153560	0.154120	94.704000	95.330000	
0.003920	0.150254	0.155755	94.816000	95.390000	
0.003523	0.150876	0.152274	94.880000	95.490000	
0.003147	0.148028	0.149709	95.002000	95.520000	
0.002791	0.146826	0.150117	94.936000	95.520000	
0.002455	0.144488	0.144339	95.058000	95.640000	
0.002141	0.138330	0.147610	95.302000	95.570000	
0.001848	0.137575	0.147769	95.320000	95.550000	
0.001576	0.138120	0.147115	95.302000	95.510000	
0.001326	0.137595	0.144252	95.280000	95.590000	
0.001096	0.139297	0.143533	95.238000	95.670000	
0.000889	0.137055	0.140118	95.368000	95.610000	
0.000703	0.135953	0.140914	95.342000	95.620000	
0.000538	0.139464	0.141165	95.220000	95.590000	
0.000396	0.135356	0.140079	95.394000	95.650000	
0.000275	0.132727	0.139124	95.386000	95.670000	
0.000176	0.134128	0.140487	95.428000	95.650000	
0.000099	0.131556	0.140072	95.390000	95.700000	
0.000044	0.128711	0.139245	95.648000	95.680000	
0.000011	0.126097	0.140441	95.642000	95.600000	
0.000000	0.132850	0.140771	95.498000	95.590000	
